school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address
Fulatari Umar Primary School,YO,Primary,Public,,,12.9124171,10.9219444,71001,"Fulatari Umar Primary School, YO State, Nigeria"
Ngamma Primary School,YO,Primary,Public,,,11.5213212,11.9745628,70708,"Ngamma Primary School, YO State, Nigeria"
Barbawa Primary School,YO,Primary,Public,,,11.8543553,11.0503578,71206,"Barbawa Primary School, YO State, Nigeria"
Kadi Primary School,YO,Primary,Public,,,11.3673949,11.0910201,70404,"Kadi Primary School, YO State, Nigeria"
Kukar Awu Primary School,YO,Primary,Public,,,11.7198501,11.0168796,71208,"Kukar Awu Primary School, YO State, Nigeria"
Damiya Primary School,YO,Primary,Public,,,11.8297702,11.9946671,70310,"Damiya Primary School, YO State, Nigeria"
Demostrative Staff School,YO,Primary,Private,,,12.880393,11.0026934,71005,"Demostrative Staff School, YO State, Nigeria"
Bagardu Primary School,YO,Primary,Public,,,11.0168223,11.4786407,70806,"Bagardu Primary School, YO State, Nigeria"
Grungu 2 Primary School,YO,Primary,Public,,,12.1455735,11.0821581,70504,"Grungu 2 Primary School, YO State, Nigeria"
Mainri Primary School,YO,Primary,Public,,,12.5902175,11.0446013,70102,"Mainri Primary School, YO State, Nigeria"
Dunchuwa Primary School,YO,Primary,Public,,,11.8025291,11.2110268,71202,"Dunchuwa Primary School, YO State, Nigeria"
Garin Gambo Primary School,YO,Primary,Unknown,,,11.8514703,10.903038,71203,"Garin Gambo Primary School, YO State, Nigeria"
Chirokosko Primary School,YO,Primary,Public,,,12.0628518,11.6712601,71503,"Chirokosko Primary School, YO State, Nigeria"
Sabon Garin Bukar Abba Primary School,YO,Primary,Public,,,11.7108035,11.7534024,70509,"Sabon Garin Bukar Abba Primary School, YO State, Nigeria"
Yamdugo Primary School,YO,Primary,Public,,,12.9176304,10.5073482,71309,"Yamdugo Primary School, YO State, Nigeria"
Wachakal Primary School,YO,Primary,Public,,,12.8260553,10.5268389,71009,"Wachakal Primary School, YO State, Nigeria"
Girwan Primary School,YO,Primary,Public,,,12.8496953,11.2754468,70204,"Girwan Primary School, YO State, Nigeria"
Dumbari Primary School,YO,Primary,Public,,,12.5854594,10.7382918,70902,"Dumbari Primary School, YO State, Nigeria"
Illela Primary School,YO,Primary,Public,,,12.8180385,11.2320289,70206,"Illela Primary School, YO State, Nigeria"
Zamba Primary School,YO,Primary,Public,,,11.3880318,11.348201,70403,"Zamba Primary School, YO State, Nigeria"
Keluri Primary School,YO,Primary,Public,,,12.8368914,11.7474747,70604,"Keluri Primary School, YO State, Nigeria"
Dawaya Koli Primary School,YO,Primary,Public,,,12.0929271,11.429708,70512,"Dawaya Koli Primary School, YO State, Nigeria"
Mozagun Primary School,YO,Primary,Public,,,12.9195947,11.8839079,71607,"Mozagun Primary School, YO State, Nigeria"
Garin Aba Primary School,YO,Primary,Public,,,11.2334937,11.1704511,70408,"Garin Aba Primary School, YO State, Nigeria"
Sabon Garin Nangere Primary School,YO,Primary,Public,,,11.8477625,11.0705978,71205,"Sabon Garin Nangere Primary School, YO State, Nigeria"
Shamsud Aulad Primary School,YO,Primary,Public,,,12.86817,10.4582479,71302,"Shamsud Aulad Primary School, YO State, Nigeria"
Shamka Primary School,YO,Primary,Public,,,11.5790856,11.7015392,70501,"Shamka Primary School, YO State, Nigeria"
Dapso Primary School,YO,Primary,Public,,,12.8157706,11.3766441,70207,"Dapso Primary School, YO State, Nigeria"
Alangafe Primary School,YO,Primary,Public,,,11.5082109,11.4393801,70503,"Alangafe Primary School, YO State, Nigeria"
Kujari Primary School,YO,Primary,Public,,,12.8926331,11.7128044,71607,"Kujari Primary School, YO State, Nigeria"
Gujba Central Primary School,YO,Primary,Public,,,11.4968383,11.9357657,70708,"Gujba Central Primary School, YO State, Nigeria"
Buddum Primary School,YO,Primary,Unknown,,,13.25462,10.79157,71707,"Buddum Primary School, YO State, Nigeria"
Bombori Madarrasatul Abrarul Aulad,YO,Primary,Private,,,12.8745352,10.4181956,71305,"Bombori Madarrasatul Abrarul Aulad, YO State, Nigeria"
Mai Bukar Memorial Boarding Science Primary School,YO,Primary,Public,,,13.1331792,10.0552692,71101,"Mai Bukar Memorial Boarding Science Primary School, YO State, Nigeria"
Zango Primary School,YO,Primary,Public,,,11.0583272,11.9264219,70805,"Zango Primary School, YO State, Nigeria"
Danbuluwa A Primary School,YO,Primary,Public,,,11.6431475,11.3365334,70510,"Danbuluwa A Primary School, YO State, Nigeria"
Zigage Primary School,YO,Primary,Public,,,12.9687488,12.0478016,71601,"Zigage Primary School, YO State, Nigeria"
Nomadic School Mubi,YO,Primary,Public,,,10.9222019,11.6945654,70801,"Nomadic School Mubi, YO State, Nigeria"
Central Primary Nguru,YO,Primary,Public,,,12.8765493,10.45786,71304,"Central Primary Nguru, YO State, Nigeria"
Central Primary School,YO,Primary,Public,,,11.7130512,11.0679424,71406,"Central Primary School, YO State, Nigeria"
Khadijatul Kubura Islamiya Primary School,YO,Primary,Public,,,11.6647232,11.413765,70505,"Khadijatul Kubura Islamiya Primary School, YO State, Nigeria"
Kurnawa Primary School,YO,Primary,Public,,,12.7003628,11.2289855,70203,"Kurnawa Primary School, YO State, Nigeria"
Kurmi Primary School,YO,Primary,Public,,,11.5720071,11.2614565,70405,"Kurmi Primary School, YO State, Nigeria"
Nurul Aulad Model Islamiya Primary School,YO,Primary,Public,,,12.8736654,10.4572946,71302,"Nurul Aulad Model Islamiya Primary School, YO State, Nigeria"
Aliwadimari Primary School,YO,Primary,Public,,,13.1589335,11.5370286,71608,"Aliwadimari Primary School, YO State, Nigeria"
Adiya Primary School,YO,Primary,Public,,,12.6893471,10.6749636,70904,"Adiya Primary School, YO State, Nigeria"
Tarja Primary School,YO,Primary,Public,,,12.8074827,10.9062366,70906,"Tarja Primary School, YO State, Nigeria"
Atiyaye Primary School,YO,Primary,Public,,,11.6973865,11.0554689,71408,"Atiyaye Primary School, YO State, Nigeria"
Tigali Primary School,YO,Primary,Public,,,12.8108277,10.6170747,70110,"Tigali Primary School, YO State, Nigeria"
Ngamdere Primary School,YO,Primary,Public,,,11.5913433,11.3106394,70505,"Ngamdere Primary School, YO State, Nigeria"
Jajerial Primary School,YO,Primary,Public,,,11.8366689,11.5578747,70511,"Jajerial Primary School, YO State, Nigeria"
Lobo Primary School,YO,Primary,Public,,,11.7240697,11.0462165,71405,"Lobo Primary School, YO State, Nigeria"
Jajeri Primary School,YO,Primary,Public,,,13.0358362,10.5276918,71003,"Jajeri Primary School, YO State, Nigeria"
Mandamari Primary School,YO,Primary,Public,,,13.0172002,11.9298381,71606,"Mandamari Primary School, YO State, Nigeria"
Gununu Primary School,YO,Primary,Public,,,11.6638005,11.4534885,70505,"Gununu Primary School, YO State, Nigeria"
Gudi Primary School,YO,Primary,Public,,,11.4384681,11.1874348,70404,"Gudi Primary School, YO State, Nigeria"
Ngurum Primary School,YO,Primary,Public,,,11.0212381,11.7888413,70804,"Ngurum Primary School, YO State, Nigeria"
Abakire Primary School,YO,Primary,Public,,,11.5295774,11.4587134,70501,"Abakire Primary School, YO State, Nigeria"
Sumbar Primary School,YO,Primary,Public,,,13.3179377,10.6748608,71706,"Sumbar Primary School, YO State, Nigeria"
Mil Biyar Primary School,YO,Primary,Public,,,11.6939378,11.6936213,70509,"Mil Biyar Primary School, YO State, Nigeria"
Chandam Primary School,YO,Primary,Public,,,11.0445312,11.7188436,70806,"Chandam Primary School, YO State, Nigeria"
Fakatau Primary School,YO,Primary,Public,,,11.8832266,11.0608292,71206,"Fakatau Primary School, YO State, Nigeria"
Dadadonkiri Primary School,YO,Primary,Public,,,11.3305897,11.1892158,70403,"Dadadonkiri Primary School, YO State, Nigeria"
Jabu Nomadic Primary School,YO,Primary,Public,,,12.9567003,10.4203303,71308,"Jabu Nomadic Primary School, YO State, Nigeria"
Katamma Primary School,YO,Primary,Public,,,12.6259511,10.8177611,70906,"Katamma Primary School, YO State, Nigeria"
