school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address,status
Gang Subeni Primary School,AD,Primary,Public,,,8.6508437,11.780962,ADSMWA03,"Gang Subeni Primary School, AD State, Nigeria",Unknown
Delengi Primary School,AD,Primary,Public,,,8.6760645,12.588981,ADSJAD04,"Delengi Primary School, AD State, Nigeria",Unknown
Sampa Primary School,AD,Primary,Public,,,8.66625,12.504659,ADSJAD07,"Sampa Primary School, AD State, Nigeria",Open
Rico Primary School,AD,Primary,Public,,,9.3131897,12.769862,ADSFUR08,"Rico Primary School, AD State, Nigeria",Unknown
Golantaba Primary School,AD,Primary,Public,,,10.030255,12.66185,ADSSNG06,"Golantaba Primary School, AD State, Nigeria",Unknown
Haske Baptist Nursery,AD,Primary,Private,,,9.210912,12.470463,ADSYLA05,"Haske Baptist Nursery, AD State, Nigeria",Unknown
Hursaa Primary School,AD,Primary,Public,,,10.034278,12.346278,ADSGMB02,"Hursaa Primary School, AD State, Nigeria",Open
Chikito Primary School,AD,Primary,Public,,,9.245174,12.868807,ADSFUR04,"Chikito Primary School, AD State, Nigeria",Unknown
Bengo Primary School,AD,Primary,Public,,,9.4132463,12.7235213,ADSFUR07,"Bengo Primary School, AD State, Nigeria",Open
Kwallia Primary School Kwalia,AD,Primary,Public,,,10.67383,13.37065,ADSMCH13,"Kwallia Primary School Kwalia, AD State, Nigeria",Unknown
Mutunku Primary School,AD,Primary,Public,,,10.3156216,12.9711811,ADSHNG01,"Mutunku Primary School, AD State, Nigeria",Unknown
M Gari Primary School,AD,Primary,Public,,,9.99958,13.213119,ADSMAH04,"M Gari Primary School, AD State, Nigeria",Unknown
Ardo H Tukur Primary School,AD,Primary,Public,,,9.221551,12.650181,ADSFUR03,"Ardo H Tukur Primary School, AD State, Nigeria",Unknown
Alajire Primary School,AD,Primary,Public,,,9.187156,12.704183,ADSFUR01,"Alajire Primary School, AD State, Nigeria",Open
Police Children School,AD,Primary,Public,,,9.2575757,12.4540046,ADSYLN06,"Police Children School, AD State, Nigeria",Open
Pola Takko Primary School,AD,Primary,Public,,,8.662686,11.887755,ADSMWA03,"Pola Takko Primary School, AD State, Nigeria",Open
Atiku Abubakar Islamiya Primary School,AD,Primary,Private,,,8.577732,12.379826,ADSJAD11,"Atiku Abubakar Islamiya Primary School, AD State, Nigeria",Unknown
Sukul Settlement Primary School,AD,Primary,Public,,,10.876266,13.608678,ADSMDG01,"Sukul Settlement Primary School, AD State, Nigeria",Unknown
Kamsu Primary School,AD,Primary,Public,,,10.288872,12.375595,ADSGMB04,"Kamsu Primary School, AD State, Nigeria",Open
Lutheran Church of Christ Nigeria Nursery and Primary School,AD,Primary,Private,,,10.156694,12.736262,ADSGMB07,"Lutheran Church of Christ Nigeria Nursery and Primary School, AD State, Nigeria",Unknown
Modibbo Lawal Nursery Primary School Giret,AD,Primary,Public,,,9.36227,12.54169,ADSGRE04,"Modibbo Lawal Nursery Primary School Giret, AD State, Nigeria",Unknown
Unity Primary School,AD,Primary,Public,,,10.163709,12.737877,ADSGMB06,"Unity Primary School, AD State, Nigeria",Unknown
